No,question,option A,option B,option C,option D,answer
1,Which of the following extract instructions and decodes them?,Memory,CPU,ALU,Control Unit,B
2,Which linking unit allows the entry of data into the computer system?,Output Unit,Input Unit,Processor,Cache memory,B
3,Which of the following holds data for a long period of time?,Cache Memory,Hard Disk,RAM,Diskette,B
4,Which of the following refers to instruction set of a computer?,Arithmetic operations performed by a memory location,Logical operations performed by a cache memory,The operations a microprocessor performs,"
Arithmetic operations performed by a microprocessor
",C
5,Which of the following makes up the CPU?,Memory and ALU,Cache and Control unit,Control unit and ALU,Ram and Control unit,C
6,Which of the following is the fastest?,RAM,Cache,Hard drive,Flash disk,B
7,Which of the following is a unit for measuring the speed of a computer system,10-9,10-6,103,106,B
8,"With respect to computer system, what is versatility?","
Ability to carry out same multiple tasks
",ability to execute completely different type of work,"ability to carry out related tasks in limited time

","ability to carry out iteration.
",B
9,Which of the following is an in-built memory?,"
hard disk
",magnetic drive,RAM/cache,Floppy disk,C
10,Which of the following is crucial to problem solving?,Problem initiation,Problem identification,Problem creation,"
Problem definition",B
11,The primary language understood by a computer is______________,High level language,Low level language,"
Intermediate language","Object languages
",C
12,Which of the following relates to steps required to complete a task?,Flowcharts,Data flows,Algorithm,Structure charts,C
13,Which of the following is closer to the processor?,RAM,Cache,Hard drive,Flash disk,B
14,Which of the following is not a function of the input unit?,It accepts (or reads) the list of instructions and data from the outside world.,It converts these instructions and data in computer acceptable format.,It supplies the converted instructions and data to the computer system for further processing,"
It converts these coded results to human acceptable (readable) form",D
15,Which of the following is a flash memory device?,Memory stick,Blu-ray disc,Tape cassette,SSD,D
16,Which of the following functions as both input and output device?,Facsimile,Plotters,Webcam,Projector,A
17,Which of the following does not relate to the storage functions of the memory?,Final results of processing before these results are released to an output device,"Storage of intermediate results of processing.
",Storage of all data to be processed and the instruction required for processing,Arithmetic data only,D
18,Which of the following performs comparison and calculations?,Memory,USB,CPU,Control unit,C
19,Which of the following relates to diligence in computers?,Free from tiredness and fatigue,Ability to compute error,"Ability to make multiple comparisons
",Ability to lower human performance,A
20,Which of the following set represents the typical functional component of a computer system from input to output?,"Image scanner, super disk, LCD projection channel","
LCD projection channel, Image scanner, super disk","
Super disk, Image scanner, LCD projection channel","
LCD projection channel, super disk, Image scanner",A
21,Which of the following is a temporary storage device?,Magnetic disk,Hard disk,Cache memory,Network media,C
22,Which of the following is a magnetic storage device?,Memory stick,Blu-ray disc,Hard disk,SSD,D
23,How does complicated instruction set affect a computer system?,"Makes operation performance faster
",Makes CPU performance slower,"Makes CPU performance faster
","Makes no effect on the system performance
",B
24,Which of the following uses light for data storage?,"Memory stick
",Blu-ray disc,Tape cassette,SSD,B
25,Which of the following controls both the internal and external devices?,ALU,CPU,CACHE,RAM,B
26,Which of the following is an attribute of a good programmer?,Ability to encode fact into variables,"
Ability encode variables into facts",Ability to convert data into facts,"
Ability to store facts in the system",A
27,"To reduce the memory access time, which of the following can be incorporated?",heaps,"
Higher capacity RAM",SDRAM,"
Cache memory",D
28,The small extremely fast RAMS are called,Cache,Heaps,Hard disk,Floppy disk,A
29,Devices that accepts data from outside computer and transfer into CPU are called?,input devices,digital devices,"
analogue devices",truth table peripherals,A
30,Devices which are used to receive data from central processing unit are classified as?,output/input devices," 
digital devices",signaled devices,output devices,A
31,RAM stands for,Random Access Memory,"
Read Access Memory",Read Arithmetic Memory,"
Random Arithmetic Memory",A
32,Which of the following computer component is correctly associated with the function it performs?,monitor: output,CPU: storage,RAM: processing,"
Optical drive: input",A
33,The hardware unit used for controlling computer system operation is___?,monitor,RAM,Processor,keyboard,C
34,The hardware unit for long-term storage is_____?,RAM,Hard Disk,Floppy disk,DVD,B
35,"Which of the following will be chosen based on speed to access?
",RAM,Hard Disk,Floppy disk,CD-ROM,A
36,The full meaning of ALU is_______________,"Arithmetic Logic Unit
",Array Logic Unit,"Application Logic Unit
",None of above,A
37,ALU and Control Unit jointly known as__________________,RAM,ROM,CPU,PC,C
38,RAM is an example of________________________,"
Secondary memory
",Primary memory,Main memory,Both primary and secondary memory,B
39,Magnetic disk is an example of,Secondary memory,Primary memory,Main memory,Both primary and secondary memory,A
40,RAM is also called a," 
Read / Write Memory",Long Memory,"
Permanent Memory
",Primary Memory,A
41,All of the following are examples of storage devices EXCEPT," 
hard disk drives",printers,"
floppy disk drives","CD drives
",B
42,Computers process data into information by working exclusively with,multimedia,word,binary numbers,characters,C
43,A DVD is an example of a,hard disk,optical storage,output device," 
solid-state storage device
",B
44,Which part of the computer is directly involved in executing the instructions of the computer program?,The scanner,The main storage,The secondary storage,The processor,D
45,Which of the following does not store data permanently?,ROM,RAM,Floppy disk,Hard disk,B
46,Which one of the following is true for RAM?,"
It is volatile memory","It is temporary memory
",It is primary memory,All of the above,D
47,"What does a computer do after gathering data, processing it and sending the data to the output device?",Delete the data,Write the data,Hide the data,Stores the data,D
48,Where are the programs and data currently processed by the CPU stored?,Internal memory,PROM,Mass memory,"None of the above
",D
49,Accepted instructions are converted into machine language with the help of,Memory unit,Input Unit,Logical unit,Processing unit,B
50,Secondary storage devices are,Long-term and high- capacity devices,Temporary in nature like RAM,"
Diskettes, tapes or removable devices
",Permanent in nature like Cache memory,A
51,A computer system is known for,Formulating instruction,"
Directing instruction",Executing Instruction,"
Formatting Instruction
",C
52,The first thing a computer does while it manipulates data is,"Store the data
",Take the data as input,Process the data,"None of the above
",B
53,A computer cannot do the following,Store Data,process data,take in data as input,"None of the above
",D
54,One of the following could not be classified as part of a computer," 
Display unit
",CPU,Storage Unit,"None of the above
",D
