questions,option_A,option_B,option_C,option_D,answers
Which of the following extract instructions and decodes them?,Memory,CPU,ALU,Control Unit,B
Which linking unit allows the entry of data into the computer system?,Output Unit,Input Unit,Processor,Cache memory,B
Which of the following holds data for a long period of time?,Cache Memory,Hard Disk,RAM,Diskette,B
Which of the following refers to instruction set of a computer?,Arithmetic operations performed by a memory location,Logical operations performed by a cache memory,The operations a microprocessor performs,"
Arithmetic operations performed by a microprocessor
",C
Which of the following makes up the CPU?,Memory and ALU,Cache and Control unit,Control unit and ALU,Ram and Control unit,C
Which of the following is the fastest?,RAM,Cache,Hard drive,Flash disk,B
Which of the following is a unit for measuring the speed of a computer system,10-9,10-6,103,106,B
"With respect to computer system, what is versatility?","
Ability to carry out same multiple tasks
",ability to execute completely different type of work,"ability to carry out related tasks in limited time

","ability to carry out iteration.
",B
Which of the following is an in-built memory?,"
hard disk
",magnetic drive,RAM/cache,Floppy disk,C
Which of the following is crucial to problem solving?,Problem initiation,Problem identification,Problem creation,"
Problem definition",B
The primary language understood by a computer is______________,High level language,Low level language,"
Intermediate language","Object languages
",C
Which of the following relates to steps required to complete a task?,Flowcharts,Data flows,Algorithm,Structure charts,C
Which of the following is closer to the processor?,RAM,Cache,Hard drive,Flash disk,B
Which of the following is not a function of the input unit?,It accepts (or reads) the list of instructions and data from the outside world.,It converts these instructions and data in computer acceptable format.,It supplies the converted instructions and data to the computer system for further processing,"
It converts these coded results to human acceptable (readable) form",D
Which of the following is a flash memory device?,Memory stick,Blu-ray disc,Tape cassette,SSD,D
Which of the following functions as both input and output device?,Facsimile,Plotters,Webcam,Projector,A
Which of the following does not relate to the storage functions of the memory?,Final results of processing before these results are released to an output device,"Storage of intermediate results of processing.
",Storage of all data to be processed and the instruction required for processing,Arithmetic data only,D
Which of the following performs comparison and calculations?,Memory,USB,CPU,Control unit,C
Which of the following relates to diligence in computers?,Free from tiredness and fatigue,Ability to compute error,"Ability to make multiple comparisons
",Ability to lower human performance,A
Which of the following set represents the typical functional component of a computer system from input to output?,"Image scanner, super disk, LCD projection channel","
LCD projection channel, Image scanner, super disk","
Super disk, Image scanner, LCD projection channel","
LCD projection channel, super disk, Image scanner",A
Which of the following is a temporary storage device?,Magnetic disk,Hard disk,Cache memory,Network media,C
Which of the following is a magnetic storage device?,Memory stick,Blu-ray disc,Hard disk,SSD,D
How does complicated instruction set affect a computer system?,"Makes operation performance faster
",Makes CPU performance slower,"Makes CPU performance faster
","Makes no effect on the system performance
",B
Which of the following uses light for data storage?,"Memory stick
",Blu-ray disc,Tape cassette,SSD,B
Which of the following controls both the internal and external devices?,ALU,CPU,CACHE,RAM,B
Which of the following is an attribute of a good programmer?,Ability to encode fact into variables,"
Ability encode variables into facts",Ability to convert data into facts,"
Ability to store facts in the system",A
"To reduce the memory access time, which of the following can be incorporated?",heaps,"
Higher capacity RAM",SDRAM,"
Cache memory",D
The small extremely fast RAMS are called,Cache,Heaps,Hard disk,Floppy disk,A
Devices that accepts data from outside computer and transfer into CPU are called?,input devices,digital devices,"
analogue devices",truth table peripherals,A
Devices which are used to receive data from central processing unit are classified as?,output/input devices," 
digital devices",signaled devices,output devices,A
RAM stands for,Random Access Memory,"
Read Access Memory",Read Arithmetic Memory,"
Random Arithmetic Memory",A
Which of the following computer component is correctly associated with the function it performs?,monitor: output,CPU: storage,RAM: processing,"
Optical drive: input",A
The hardware unit used for controlling computer system operation is___?,monitor,RAM,Processor,keyboard,C
The hardware unit for long-term storage is_____?,RAM,Hard Disk,Floppy disk,DVD,B
"Which of the following will be chosen based on speed to access?
",RAM,Hard Disk,Floppy disk,CD-ROM,A
The full meaning of ALU is_______________,"Arithmetic Logic Unit
",Array Logic Unit,"Application Logic Unit
",None of above,A
